All event log messages.
Date:	2021-03-04 23:55:55
System Name:	14000-502153
Controller Name:	YUMI-502153
Controller ID :	14000-502153

RobotWare: 6.11.01.00
Key:	 - 
Options:	
	Contact L
	UDPUC Driver
	Leadthrough
	YuMi AbsAcc Recovery
	English
	603-1 Absolute Accuracy
	988-1 RW Add-In Prepared
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	841-1 EtherNet/IP Scanner/Adapter
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP SFTP and NFS client
	1341-1/1520-1 Integrated Vision Interface
	604-1 MultiMove Coordinated
	623-1 Multitasking
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	688-1 RobotStudio App Connect
	885-1 SoftMove
	608-1 World Zones
	RobotWare Base

DriveModule1
Key:	 - 
Options:	
	Hall Sensor Calibration
	Pendelum Calibration
	Motor Commutation
	Service Info System
	Drive System IRB 14000
	IRB 14000-0.5/0.5
	IRB 14000-0.5/0.5 Type A
	IRB 14000-0.5/0.5 Type A

Additional Options

SmartGripper
Key:	 - 
Options:	
	SmartGripper

YuMiLib
Key:	 - 
Options:	
	YuMiLib

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
21        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:42:13 	The task YuMiLibBG_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "YuMiLibBG_R"}
22        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:42:13 	The task YuMiLibBG_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "YuMiLibBG_L"}
23        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:13 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
24        	E   	User                	80001   	Power flange for Hand_R Off             	2021-03-04 20:42:13 	Hand is not connected!Activate hand power flange andEnable IO Unit Hand_ROr restart controller!	{args: "Power flange for Hand_R Off", "Hand is not connected!", "Activate hand power flange and", "Enable IO Unit Hand_R", "Or restart controller!"}
25        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:13 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
26        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:42:14 	The task T_ROB_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB_R"}
27        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:14 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
28        	E   	User                	80001   	Power flange for Hand_L Off             	2021-03-04 20:42:14 	Hand is not connected!Activate hand power flange andEnable IO Unit Hand_LOr restart controller!	{args: "Power flange for Hand_L Off", "Hand is not connected!", "Activate hand power flange and", "Enable IO Unit Hand_L", "Or restart controller!"}
29        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:42:14 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
30        	I   	Operational         	10150   	Program started                         	2021-03-04 20:42:14 	Execution of task YuMiLibBG_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "YuMiLibBG_R"}
31        	I   	Operational         	10150   	Program started                         	2021-03-04 20:42:14 	Execution of task YuMiLibBG_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "YuMiLibBG_L"}
32        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:42:14 	The task T_ROB_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "T_ROB_L"}
33        	I   	User                	80003   	YuMiLib: Restart counter                	2021-03-04 20:42:14 	The restart counter is set to: 1	{args: "YuMiLib: Restart counter ", "The restart counter is set to: 1"}
34        	I   	User                	80003   	YuMiLib: Configuring YuMiLib            	2021-03-04 20:42:15 	YuMiLib is being configured and will restart in a moment	{args: "YuMiLib: Configuring YuMiLib ", "YuMiLib is being configured and will restart in a moment"}
35        	I   	Operational         	10056   	System shutdown initiated               	2021-03-04 20:42:15 	System shutdown is now initiated and steps are taken to stop activities and store the current state for the next startup.	{args: }
36        	I   	Operational         	10045   	System restarted                        	2021-03-04 20:42:43 	System was restarted.	{args: }
37        	W   	Operational         	12700   	Missing time zone information           	2021-03-04 20:42:43 	No time zone information has been specified.	{args: }
38        	E   	Operational         	10304   	An update has been ordered              	2021-03-04 20:43:35 	An update of program configuration is done.	{args: "0", "0", "0", "0"}
39        	I   	Operational         	10012   	Safety guard stop state                 	2021-03-04 20:43:35 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
40        	I   	Operational         	10015   	Manual mode selected                    	2021-03-04 20:43:35 	The system is in the Manual mode.	{args: }
41        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:43:35 	The program pointer of task YuMiLibBG_R has been reset.	{args: "3", "0", "YuMiLibBG_R"}
42        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:43:35 	The program pointer of task YuMiLibBG_L has been reset.	{args: "4", "0", "YuMiLibBG_L"}
43        	I   	Operational         	10150   	Program started                         	2021-03-04 20:43:35 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "1", "T_ROB_R"}
44        	I   	Operational         	10150   	Program started                         	2021-03-04 20:43:35 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "T_ROB_L"}
45        	I   	Operational         	10150   	Program started                         	2021-03-04 20:43:35 	Execution of task YuMiLibBG_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "YuMiLibBG_R"}
46        	I   	Operational         	10150   	Program started                         	2021-03-04 20:43:35 	Execution of task YuMiLibBG_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "YuMiLibBG_L"}
47        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:43:35 	The task YuMiLibBG_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "YuMiLibBG_R"}
48        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:43:35 	The task YuMiLibBG_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "YuMiLibBG_L"}
49        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:43:35 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
50        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:43:36 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
51        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:43:36 	The task T_ROB_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB_R"}
52        	I   	Operational         	10150   	Program started                         	2021-03-04 20:43:36 	Execution of task YuMiLibBG_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "YuMiLibBG_R"}
53        	I   	Operational         	10150   	Program started                         	2021-03-04 20:43:36 	Execution of task YuMiLibBG_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "YuMiLibBG_L"}
54        	I   	User                	80003   	YuMiLib: Restart counter                	2021-03-04 20:43:36 	The restart counter is set to: 2	{args: "YuMiLib: Restart counter ", "The restart counter is set to: 2"}
55        	I   	User                	80003   	YuMiLib: Running AutoConfigure of hands 	2021-03-04 20:43:36 	Configuring hand names, ip addresses and hostnames.When finished the robot will restart.	{args: "YuMiLib: Running AutoConfigure of hands", "Configuring hand names, ip addresses and hostnames.", "When finished the robot will restart."}
56        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:43:36 	The task T_ROB_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "T_ROB_L"}
57        	E   	IO & Communication  	71367   	No communication with I/O device        	2021-03-04 20:43:38 	During start-up, no communication was established with I/O device Hand_R with address 192.168.125.30 on the network EtherNetIP.	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
58        	I   	IO & Communication  	71276   	Communication established with I/O device	2021-03-04 20:43:59 	Communication established with I/O device Hand_R with address 192.168.125.30 on network EtherNetIP.	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
59        	I   	User                	80003   	YuMiLib: Right hand found               	2021-03-04 20:43:59 	Right hand found on Right arm	{args: "YuMiLib: Right hand found", "Right hand found on Right arm"}
60        	I   	System              	20641   	New camera detected                     	2021-03-04 20:44:14 	A new camera with mac address 00:d0:24:64:fc:fa has been detected.	{args: "00:d0:24:64:fc:fa", "192.168.125.203"}
61        	I   	User                	80003   	YuMiLib: Camera found with MAC and IP   	2021-03-04 20:44:14 	Found MAC address: 00:d0:24:64:fc:faFound IP address: 192.168.125.203	{args: "YuMiLib: Camera found with MAC and IP ", "Found MAC address: 00:d0:24:64:fc:fa", "Found IP address: 192.168.125.203"}
62        	I   	User                	80003   	YuMiLib: SetCameraName                  	2021-03-04 20:44:14 	Right camera name changed to HandCameraR	{args: "YuMiLib: SetCameraName", "Right camera name changed to HandCameraR"}
63        	I   	User                	80003   	YuMiLib: SetCameraHostName              	2021-03-04 20:44:22 	Right camera hostname changed to HandCameraR	{args: "YuMiLib: SetCameraHostName", "Right camera hostname changed to HandCameraR"}
64        	E   	IO & Communication  	71367   	No communication with I/O device        	2021-03-04 20:44:24 	During start-up, no communication was established with I/O device Hand_L with address 192.168.125.40 on the network EtherNetIP.	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
65        	I   	IO & Communication  	71276   	Communication established with I/O device	2021-03-04 20:44:45 	Communication established with I/O device Hand_L with address 192.168.125.40 on network EtherNetIP.	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
66        	I   	User                	80003   	YuMiLib: Left hand found                	2021-03-04 20:44:45 	Left hand found on Left arm	{args: "YuMiLib: Left hand found", "Left hand found on Left arm"}
67        	I   	User                	80003   	YuMiLib: A Camera has been configured   	2021-03-04 20:45:45 	Restarting controller for CFG to take effect	{args: "YuMiLib: A Camera has been configured ", "Restarting controller for CFG to take effect"}
68        	I   	Operational         	10056   	System shutdown initiated               	2021-03-04 20:45:46 	System shutdown is now initiated and steps are taken to stop activities and store the current state for the next startup.	{args: }
69        	I   	Operational         	10045   	System restarted                        	2021-03-04 20:46:16 	System was restarted.	{args: }
70        	W   	Operational         	12700   	Missing time zone information           	2021-03-04 20:46:16 	No time zone information has been specified.	{args: }
71        	I   	Operational         	10012   	Safety guard stop state                 	2021-03-04 20:47:08 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
72        	I   	Operational         	10015   	Manual mode selected                    	2021-03-04 20:47:08 	The system is in the Manual mode.	{args: }
73        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:47:08 	The program pointer of task YuMiLibBG_R has been reset.	{args: "3", "0", "YuMiLibBG_R"}
74        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:47:08 	The program pointer of task YuMiLibBG_L has been reset.	{args: "4", "0", "YuMiLibBG_L"}
75        	I   	Operational         	10150   	Program started                         	2021-03-04 20:47:08 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "1", "T_ROB_R"}
76        	I   	Operational         	10150   	Program started                         	2021-03-04 20:47:09 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "T_ROB_L"}
77        	I   	Operational         	10150   	Program started                         	2021-03-04 20:47:09 	Execution of task YuMiLibBG_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "YuMiLibBG_R"}
78        	I   	Operational         	10150   	Program started                         	2021-03-04 20:47:09 	Execution of task YuMiLibBG_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "YuMiLibBG_L"}
79        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:47:09 	The task YuMiLibBG_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "YuMiLibBG_R"}
80        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:47:09 	The task YuMiLibBG_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "YuMiLibBG_L"}
81        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:47:09 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
82        	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:47:09 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
83        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:47:09 	The task T_ROB_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB_R"}
84        	I   	Operational         	10150   	Program started                         	2021-03-04 20:47:09 	Execution of task YuMiLibBG_R has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "YuMiLibBG_R"}
85        	I   	Operational         	10150   	Program started                         	2021-03-04 20:47:09 	Execution of task YuMiLibBG_L has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "YuMiLibBG_L"}
86        	I   	User                	80003   	YuMiLib: Restart counter                	2021-03-04 20:47:09 	The restart counter is set to: 3	{args: "YuMiLib: Restart counter ", "The restart counter is set to: 3"}
87        	I   	User                	80003   	YuMiLib configured                      	2021-03-04 20:47:09 	YuMiLib has been configured and can now be fully used	{args: "YuMiLib configured", "YuMiLib has been configured and can now be fully used"}
88        	I   	Operational         	10129   	Program stopped                         	2021-03-04 20:47:09 	The task T_ROB_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "T_ROB_L"}
89        	I   	User                	80003   	YuMiLib: Start BG                       	2021-03-04 20:47:25 	Backgroundtask for task T_ROB_L is started	{args: "YuMiLib: Start BG", "Backgroundtask for task T_ROB_L is started"}
90        	I   	System              	20639   	Camera connection up                    	2021-03-04 20:47:49 	The robot controller communicates correctly with the camera HandCameraR with IP address 192.168.125.203.	{args: "HandCameraR", "192.168.125.203"}
91        	I   	User                	80003   	YuMiLib: Start BG                       	2021-03-04 20:47:51 	Backgroundtask for task T_ROB_R is started	{args: "YuMiLib: Start BG", "Backgroundtask for task T_ROB_R is started"}
92        	I   	Operational         	10010   	Motors OFF state                        	2021-03-04 20:48:02 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
93        	I   	Operational         	10011   	Motors ON state                         	2021-03-04 20:48:02 	The system is in the Motors ON state.	{args: }
94        	I   	Operational         	10016   	Automatic mode requested                	2021-03-04 20:48:02 	The system has been ordered to go to the Automatic mode.	{args: }
95        	I   	Operational         	10017   	Automatic mode confirmed                	2021-03-04 20:48:03 	The system is in the Automatic mode.	{args: }
96        	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:48:04 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
97        	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:48:04 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
98        	I   	Operational         	10153   	Run mode is changed                     	2021-03-04 20:48:05 	Run mode has been changed to single cycle by Default User.	{args: "Default User"}
99        	I   	Operational         	10052   	Regain start                            	2021-03-04 20:48:05 	A regain movement has started.	{args: "0"}
100       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:48:05 	The regain movement is ready.	{args: "0"}
101       	I   	Operational         	10151   	Program started                         	2021-03-04 20:48:05 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
102       	I   	Operational         	10151   	Program started                         	2021-03-04 20:48:05 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
103       	E   	User                	80001   	Test license function YuMiLib: Remaining days = 30!	2021-03-04 20:48:05 	Please contact:ABB Automation GmbH61169 Friedberg (Germany)+49 6031 85-0	{args: "Test license function YuMiLib: Remaining days = 30!", "Please contact:", "ABB Automation GmbH", "61169 Friedberg (Germany)", "+49 6031 85-0"}
104       	E   	User                	80001   	Test license function YuMiLib: Remaining days = 30!	2021-03-04 20:48:05 	Please contact:ABB Automation GmbH61169 Friedberg (Germany)+49 6031 85-0	{args: "Test license function YuMiLib: Remaining days = 30!", "Please contact:", "ABB Automation GmbH", "61169 Friedberg (Germany)", "+49 6031 85-0"}
105       	I   	Operational         	10137   	Program stopped                         	2021-03-04 20:48:20 	The task T_ROB_R has stopped. The reason is that the task has reached a stop\AllMoveTask instruction.	{args: "1", "T_ROB_R"}
106       	I   	Operational         	10125   	Program stopped                         	2021-03-04 20:48:20 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred.	{args: "2", "T_ROB_L"}
107       	I   	Operational         	10157   	Program restarted                       	2021-03-04 20:48:48 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "2", "T_ROB_L"}
108       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:48:48 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
109       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:48:48 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
110       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:48:48 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
111       	I   	Operational         	10157   	Program restarted                       	2021-03-04 20:48:49 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "1", "T_ROB_R"}
112       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:48:49 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
113       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:48:49 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
114       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:48:49 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
115       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:48:49 	A regain movement has started.	{args: "0"}
116       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:48:49 	The regain movement is ready.	{args: "0"}
117       	I   	Operational         	10151   	Program started                         	2021-03-04 20:48:49 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
118       	I   	Operational         	10151   	Program started                         	2021-03-04 20:48:49 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
119       	E   	Process             	112755  	Hand not calibrated                     	2021-03-04 20:49:13 	Task: T_ROB_LHand_ L is not calibrated. Context:/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0	{args: "T_ROB_L", "L", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
120       	E   	Program             	40229   	Execution error                         	2021-03-04 20:49:13 	Task T_ROB_L: Unhandled error.	{args: "T_ROB_L", "55"}
121       	I   	Operational         	10020   	Execution error state                   	2021-03-04 20:49:13 	The program execution in task T_ROB_L has been stopped due to a spontaneous error.	{args: "2", "T_ROB_L"}
122       	I   	Operational         	10126   	Program stopped                         	2021-03-04 20:49:13 	The task T_ROB_L has stopped. The reason is that an error has occurred.	{args: "2", "T_ROB_L"}
123       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:49:13 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
124       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:49:13 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
125       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:49:21 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
126       	I   	Operational         	10021   	Execution error reset                   	2021-03-04 20:49:21 	The program execution in task T_ROB_L has left a spontaneous error state.	{args: "2", "T_ROB_L"}
127       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:49:21 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
128       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:49:21 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
129       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:49:22 	A regain movement has started.	{args: "0"}
130       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:49:22 	The regain movement is ready.	{args: "0"}
131       	I   	Operational         	10151   	Program started                         	2021-03-04 20:49:22 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
132       	I   	Operational         	10151   	Program started                         	2021-03-04 20:49:22 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
133       	W   	Motion              	50501   	Short movements                         	2021-03-04 20:49:22 	One or more consecutive move instructions resulted in movements close to zero length.Task: T_ROB_R.Program ref. /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
134       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:49:24 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
135       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:49:24 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
136       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:49:24 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
137       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:49:24 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
138       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:49:28 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
139       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:49:28 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
